Event label	cm	AGE [ka BP]	Cibicidoides wuellerstorfi, d18O [per mil PDB]	Cibicidoides wuellerstorfi, d13C [per mil PDB]
	637.5	100.06	3.43	0.55
	640	100.74	3.48	0.43
	642.5	101.41	3.73	0.41
	645	102.09	3.59	0.62
	647.5	102.76	3.42	0.38
	650	103.44	3.49	0.26
	652.5	104.11	3.6	0.43
	655	104.79	3.78	0.46
	657.5	105.46	3.24	0.82
	660	106.14	3.65	0.65
	662.5	106.81	3.56	0.38
	665	107.49	3.43	0.93
	667.5	108.16	3.6	0.58
	670	109.36	3.5	0.73
	672.5	110.67	3.59	0.42
	675	111.99	3.62	0.81
	677.5	113.3	3.39	0.75
	680	114.62	3.22	0.95
	682.5	115.93	3.01	0.79
	685	117.25	2.77	0.73
	687.5	118.56	2.96	0.79
	690	119.88	3.08	0.4
	692.5	121.19	2.87	0.91
	695	122.51	2.51	0.77
	697.5	123.82	2.64	0.8
	700	124.79	2.63	0.8
	702.5	125.24	2.63	0.89
	705	125.69	2.64	0.13
	710	126.58	3.45	0.09
	712.5	127.03	3.95	-0.05
	715	127.48	3.57	0.04
	717.5	127.92	3.98	0.22
	727.5	129.71	4.3	-0.25
	735	131.06	4.14	0.23
	737.5	131.5	4.24	0.23
	740	131.95	4.51	0.19
	742.5	132.4	3.95	0.31
	745	132.85	4.62	0.42
	747.5	133.29	4.5	0.35
	750	133.74	4.57	0.35
	752.5	134.19	4.64	0.29
	757.5	135.08	4.72	0.25
	760	135.94	4.65	0.2
	762.5	136.94	4.6	0.09
	765	137.95	4.48	0.03
	770	139.96	4.7	0.21
	772.5	140.97	4.56	0.18
	775	141.97	4.13	0.09
	777.5	142.98	4.58	0.26
	780	143.99	4.27	-0.04
	782.5	144.99	4.17	-0.25
	785	146	4.44	0.22
	787.5	147	4.37	0.06
	790	148.01	4.24	-0.12
	792.5	149.02	4.41	0.13
	795	150.02	4.43	-0.07
	797.5	151.03	4.17	-0.23
	800	152.03	4.23	-0.13
	802.5	153.04	4.28	-0.24
	805	153.73	4.25	-0.18
	807.5	154.36	4.25	-0.1
	810	154.98	4.25	-0.13
	812.5	155.61	4.28	-0.23
	815	156.23	4.17	-0.38
	817.5	156.85	4.39	-0.12
	820	157.48	4.27	-0.19
	822.5	158.1	4.51	-0.17
	825	158.82	4.33	-0.25
	827.5	159.56	4.38	-0.42
	830	160.3	4.35	-0.43
	832.5	161.04	4.32	-0.15
	835	161.78	4.38	0.41
	837.5	162.52	4.23	-0.14
	840	163.26	4.34	-0.04
	842.5	164	4.24	-0.07
	845	164.74	4.26	-0.18
	847.5	165.48	4.37	0.09
	850	166.22	4.4	0.05
	852.5	166.96	4.06	-0.28
	855	167.7	4.29	-0.21
	857.5	168.44	4.25	-0.01
	860	169.22	4.02	-0.27
	862.5	169.99	4.21	-0.05
	865	170.77	4.23	-0.05
	867.5	171.54	4.25	0.32
	872.5	173.09	4.18	0.07
	875	173.86	4.1	0.43
	877.5	174.64	4.05	0.17
	880	175.41	4.19	0.5
	882.5	176.18	4	0.51
	885	176.96	4.04	0.21
	887.5	177.73	3.97	0.06
	890	178.51	4.19	0.38
	892.5	179.28	4.05	0.16
	895	180.05	4.07	-0.01
	897.5	180.83	3.94	-0.03
	900	181.6	4.16	-0.4
	902.5	182.38	4.06	-0.09
	905	183.15	4.17	-0.16
	907.5	183.92	4.01	0.19
	910	184.7	4.34	0.06
	912.5	185.47	4.18	0.09
	915	186.25	4.01	0.36
	917.5	186.89	4.24	0.24
	922.5	187.49	4.16	0.31
	940	189.6	3.95	0.23
	942.5	189.9	3.58	0.5
	945	190.2	3.46	0.68
	947.5	190.5	3.47	0.75
	950	190.8	3.37	0.65
	952.5	191.1	3.34	0.61
	955	191.4	3.24	0.92
	957.5	191.7	3.21	0.9
	960	192	3.17	0.66
	962.5	192.3	3.09	0.64
